Timestamp,class_session,phone_type,undergrad_major,general_area_of_study,num_cups,min_num_cups,max_num_cups,sleep_hrs,min_sleep_hrs,max_sleep_hrs,fav_sports,ds_skills,outdoor_hrs,ai_tools_use,ideal_temp,phone_hrs,music_while_studying,music_genre,num_states,fav_season,study_env,summer_desc
2025-08-27 10:05:16,Session 1,iPhone,Math,Math,0.0,0.0,0.0,7.0,7.0,7.0,Football,7.0,2.0,Often,68.0,,Yes,Pop,39,Fall,Home,Unreal
2025-08-27 10:05:19,Session 1,iPhone,Economics,Commerce,1.5,1.0,2.0,7.0,7.0,7.0,Soccer,6.0,1.0,Sometimes,75.0,5.0,Yes,"[EDM, Other]",20,Summer,Library,Unreal
2025-08-27 10:05:19,Session 1,iPhone,Industrial engineering,Engineering,1.5,1.0,2.0,6.0,6.0,6.0,Basketball,6.0,3.5,Always,68.0,2.5,No,EDM,6,Fall,Home,Amazing
2025-08-27 10:05:24,Session 1,iPhone,Economics,Commerce,1.0,1.0,1.0,7.0,7.0,7.0,Football,3.0,2.0,,70.0,4.0,Yes,Rock,43,Spring,Outdoors,Interesting
2025-08-27 10:05:27,Session 1,iPhone,Biology,Science,5.0,5.0,5.0,8.0,8.0,8.0,Football,5.0,3.0,Sometimes,65.0,5.0,Yes,Country,15,Fall,Library,Amazing
2025-08-27 10:05:32,Session 1,iPhone,Computer Science,Computer Science,1.0,1.0,1.0,7.0,7.0,7.0,Football,6.0,4.0,Often,75.0,5.0,No,Jazz,20,Summer,Library,Fun
2025-08-27 10:05:35,Session 1,iPhone,Biomedical Engineering,Engineering,2.0,2.0,2.0,6.0,6.0,6.0,Basketball,4.0,0.5,Often,65.0,18.0,Yes,"[Rap, R&B]",6,Fall,Coffee Shop,Fun
2025-08-27 10:05:42,Session 1,iPhone,Computer Science,Computer Science,1.0,1.0,1.0,4.0,4.0,4.0,Formula 1,8.0,2.0,Never,20.0,8.0,Yes,Pop,24,Winter,Home,Busy
2025-08-27 10:05:44,Session 1,iPhone,Statistics,Math,1.5,1.0,2.0,9.0,8.0,10.0,Football,8.0,2.0,Sometimes,70.0,4.0,Yes,Pop,30,Winter,Library,Relaxing
2025-08-27 10:05:45,Session 1,iPhone,Public Policy,Policy,0.0,0.0,0.0,6.5,6.5,6.5,Basketball,6.0,4.0,Sometimes,72.0,5.0,Yes,Alternative,35,Fall,Library,Uneventful
2025-08-27 10:05:54,Session 1,iPhone,International Affairs,Policy,2.0,2.0,2.0,7.0,7.0,7.0,Soccer,3.0,2.0,Often,72.0,2.0,No,Rock,30,Fall,Home,Productive
2025-08-27 10:05:58,Session 1,iPhone,Cognitive Science ,Science,0.0,0.0,0.0,7.0,7.0,7.0,Basketball,7.0,2.0,Sometimes,75.0,,Yes,R&B,11,Spring,Home,Fun
2025-08-27 10:06:08,Session 1,iPhone,Data Science,Data Science,0.0,0.0,0.0,6.5,6.0,7.0,Basketball,8.0,1.5,Often,69.0,9.0,Yes,"[Rap, Rock]",15,Fall,"[Academic Building, Outdoors, Library, Coffee Shop]",Busy
2025-08-27 10:06:09,Session 1,iPhone,Computer Science,Computer Science,1.0,1.0,1.0,8.0,8.0,8.0,Soccer,7.0,3.0,Often,75.0,2.966666666666667,No,Rock,6,Fall,Library,Fine
2025-08-27 10:06:10,Session 1,iPhone,Statistics,Math,1.0,1.0,1.0,7.0,7.0,7.0,Basketball,6.0,1.0,Sometimes,80.0,4.0,No,R&B,8,Summer,Library,Reflective
2025-08-27 10:06:16,Session 1,iPhone,"Statistics, Economics",Dual Areas,1.0,1.0,1.0,7.5,7.0,8.0,Formula 1,8.0,3.0,Always,70.0,4.0,Yes,Country,22,Fall,Library,Busy
2025-08-27 10:06:17,Session 1,iPhone,Commerce,Commerce,1.0,1.0,1.0,8.0,8.0,8.0,Tennis,6.5,2.0,Often,75.0,5.0,Yes,Alternative,23,Fall,Coffee Shop,Adventurous
2025-08-27 10:06:17,Session 1,iPhone,Electrical Engineering,Engineering,1.0,1.0,1.0,8.0,8.0,8.0,Snooker,4.0,,Often,70.0,2.0,No,Pop,1,Summer,Library,Amazing
2025-08-27 10:06:30,Session 1,iPhone,Economics,Commerce,2.0,2.0,2.0,7.0,7.0,7.0,Soccer,5.0,2.0,Often,75.0,6.5,No,R&B,12,Summer,Coffee Shop,Busy
2025-08-27 10:06:37,Session 1,iPhone,"Statistics, Economics",Dual Areas,4.0,4.0,4.0,8.0,8.0,8.0,Football,8.0,4.0,Often,68.0,5.75,Yes,"[Rock, Other]",11,Summer,Home,Fast
