Timestamp,phone_type,undergrad_major,num_cups,sleep_hrs,fav_sports,ds_skills,outdoor_hrs,ai_tools_use,ideal_temp,phone_hrs,music_while_studying,music_genre,num_states,fav_season,study_env,summer_desc,general_area_of_study,class_session,min_num_cups,max_num_cups,avg_num_cups,min_sleep_hrs,max_sleep_hrs,avg_sleep_hrs
2025-08-27 10:05:16,iPhone,Math,0,7,Football,7.0,2.0,Often,68.0,,Yes,Pop,39,Fall,Dorm,Crazy,Math,Session 1,0.0,0.0,0.0,7.0,7.0,7.0
2025-08-27 10:05:19,iPhone,Economics,1-2,7,Soccer,6.0,1.0,Sometimes,75.0,5.0,Yes,EDM/House,20,Summer,Library,Unreal,Commerce,Session 1,1.0,2.0,1.5,7.0,7.0,7.0
2025-08-27 10:05:19,iPhone,Industrial engineering,1 to 2,6,Basketball,6.0,3.5,Always,68.0,2.5,No,Techno,6,Fall,Home,Amazing,Engineering,Session 1,1.0,2.0,1.5,6.0,6.0,6.0
2025-08-27 10:05:24,iPhone,Economics,1,7,Football,3.0,2.0,,70.0,4.0,Yes,Rock,43,Spring,Outdoors,Interesting,Commerce,Session 1,1.0,1.0,1.0,7.0,7.0,7.0
2025-08-27 10:05:27,iPhone,Biology,5,8,Football,5.0,3.0,Sometimes,65.0,5.0,Yes,Country/Folk,15,Fall,Library,Fantastic,Science,Session 1,5.0,5.0,5.0,8.0,8.0,8.0
2025-08-27 10:05:32,iPhone,Computer Science,1,7,Football,6.0,4.0,Often,75.0,5.0,No,Jazz,20,Summer,library,Fun,Computer Science,Session 1,1.0,1.0,1.0,7.0,7.0,7.0
2025-08-27 10:05:35,iPhone,Biomedical Engineering,2,6,Basketball,4.0,0.5,Often,65.0,18.0,Yes,Rap/R&B,6,Fall,Coffee shop,Exciting,Engineering,Session 1,2.0,2.0,2.0,6.0,6.0,6.0
2025-08-27 10:05:42,iPhone,Computer Science,1,4,Formula 1,8.0,2.0,Never,20.0,8.0,Yes,Pop,24,Winter,In my office,Busy,Computer Science,Session 1,1.0,1.0,1.0,4.0,4.0,4.0
2025-08-27 10:05:44,iPhone,Statistics,1-2,8-10,Football,8.0,2.0,Sometimes,70.0,4.0,Yes,Pop,30,Winter,"coffee shops, library",relaxing ,Math,Session 1,1.0,2.0,1.5,8.0,10.0,9.0
2025-08-27 10:05:45,iPhone,Public Policy,0,6.5,Basketball,6.0,4.0,Sometimes,72.0,5.0,Yes,Indie,35,Fall,Library,Uneventful ,Policy,Session 1,0.0,0.0,0.0,6.5,6.5,6.5
